"service_id","monday","tuesday","wednesday","thursday","friday","saturday","sunday","start_date","end_date"
44117_U_974719,1,1,1,1,1,0,0,20240521,20240621
51591_D_845559,0,0,0,0,0,0,1,20240521,20240621
51591_S_974412,0,0,0,0,0,1,0,20240521,20240621
51591_U_974862,1,1,1,1,1,0,0,20240521,20240621
37232_U_1047166,1,1,1,1,1,0,0,20240521,20240621
56989_D_727084,0,0,0,0,0,0,1,20240521,20240621
56989_S_939318,0,0,0,0,0,1,0,20240521,20240621
56989_U_929194,1,1,1,1,1,0,0,20240521,20240621
42607_D_1046971,0,0,0,0,0,0,1,20240521,20240621
42607_S_1046301,0,0,0,0,0,1,0,20240521,20240621
42607_U_1047155,1,1,1,1,1,0,0,20240521,20240621
47389_D_673852,0,0,0,0,0,0,1,20240521,20240621
47389_S_942076,0,0,0,0,0,1,0,20240521,20240621
47389_U_1047114,1,1,1,1,1,0,0,20240521,20240621
40298_D_673857,0,0,0,0,0,0,1,20240521,20240621
40298_S_942078,0,0,0,0,0,1,0,20240521,20240621
40298_U_1047116,1,1,1,1,1,0,0,20240521,20240621
40300_D_673856,0,0,0,0,0,0,1,20240521,20240621
40300_S_942117,0,0,0,0,0,1,0,20240521,20240621
40300_U_1047115,1,1,1,1,1,0,0,20240521,20240621
44126_D_845650,0,0,0,0,0,0,1,20240521,20240621
44126_S_974424,0,0,0,0,0,1,0,20240521,20240621
44126_U_975087,1,1,1,1,1,0,0,20240521,20240621
44123_D_845616,0,0,0,0,0,0,1,20240521,20240621
44123_S_974421,0,0,0,0,0,1,0,20240521,20240621
44123_U_974957,1,1,1,1,1,0,0,20240521,20240621
43083_D_845641,0,0,0,0,0,0,1,20240521,20240621
43083_S_974423,0,0,0,0,0,1,0,20240521,20240621
43083_U_974992,1,1,1,1,1,0,0,20240521,20240621
44125_D_839690,0,0,0,0,0,0,1,20240521,20240621
44125_S_939316,0,0,0,0,0,1,0,20240521,20240621
44125_U_894797,1,1,1,1,1,0,0,20240521,20240621
42746_D_839688,0,0,0,0,0,0,1,20240521,20240621
42746_S_839490,0,0,0,0,0,1,0,20240521,20240621
42746_U_1004791,1,1,1,1,1,0,0,20240521,20240621
71555_D_925449,0,0,0,0,0,0,1,20240521,20240621
71555_S_925429,0,0,0,0,0,1,0,20240521,20240621
45546_S_925429,0,0,0,0,0,1,0,20240521,20240621
45546_U_941063,1,1,1,1,1,0,0,20240521,20240621
56954_S_1046273,0,0,0,0,0,1,0,20240521,20240621
56954_U_983826,1,1,1,1,1,0,0,20240521,20240621
47577_S_910974,0,0,0,0,0,1,0,20240521,20240621
47577_U_983833,1,1,1,1,1,0,0,20240521,20240621
54651_D_911012,0,0,0,0,0,0,1,20240521,20240621
54651_S_910961,0,0,0,0,0,1,0,20240521,20240621
47874_U_1015936,1,1,1,1,1,0,0,20240521,20240621
54652_D_911013,0,0,0,0,0,0,1,20240521,20240621
54652_S_910970,0,0,0,0,0,1,0,20240521,20240621
47875_U_1015937,1,1,1,1,1,0,0,20240521,20240621
48110_U_957490,1,1,1,1,1,0,0,20240521,20240621
75276_D_702434,0,0,0,0,0,0,1,20240521,20240621
75276_S_910963,0,0,0,0,0,1,0,20240521,20240621
54162_U_1036538,1,1,1,1,1,0,0,20240521,20240621
62358_D_970443,0,0,0,0,0,0,1,20240521,20240621
62358_S_970330,0,0,0,0,0,1,0,20240521,20240621
75837_U_1021234,1,1,1,1,1,0,0,20240521,20240621
53828_D_790842,0,0,0,0,0,0,1,20240521,20240621
53828_S_790038,0,0,0,0,0,1,0,20240521,20240621
53828_U_852123,1,1,1,1,1,0,0,20240521,20240621
76128_D_1046723,0,0,0,0,0,0,1,20240521,20240621
73118_D_1046723,0,0,0,0,0,0,1,20240521,20240621
