latitude,longitude,name,type
-12.980994,-38.500687,29196795,School
-12.9359069,-38.49382,29189837,School
-12.925172,-38.504617,29184789,School
-12.9194567,-38.49711,29194504,School
-12.9259911,-38.5019126,29185530,School
-12.9441783,-38.495995,29192811,School
-12.9344017,-38.4926429,29187044,School
-12.93333,-38.495575,29198771,School
-12.9304234,-38.5037837,29186471,School
-12.9231977,-38.5028721,29189551,School
-12.9246605,-38.5088734,29187249,School
-12.9385465,-38.4957667,29190690,School
-12.937781,-38.499691,29189110,School
-12.924211,-38.498706,29193788,School
-12.933604,-38.504269,29192676,School
-12.9307283,-38.4973228,29188512,School
-12.924312,-38.494242,29187087,School
-12.9307232,-38.4954739,29188180,School
-12.924606,-38.498922,29190037,School
-12.936065,-38.493067,29189845,School
-12.932807,-38.511195,29188814,School
-12.919471,-38.494589,29180066,School
-12.933636,-38.504175,29411432,School
-12.919356,-38.496341,29344573,School
-12.929318,-38.501362,29412234,School
-12.929626,-38.510764,29344751,School
-12.918145,-38.495233,29187338,School
-12.9232745,-38.5028944,29189071,School
-12.932036,-38.490885,29470137,School
-12.978235,-38.432729,29188989,School
-12.981998,-38.433542,29190495,School
-12.978362,-38.426395,29199522,School
-12.967807,-38.415145,29194296,School
-12.942172,-38.365846,29184622,School
-12.97822,-38.429329,29188504,School
-12.967984,-38.419579,29336562,School
-12.911001,-38.351267,29189675,School
-12.947937,-38.369831,29193508,School
-12.940468,-38.35762,29194415,School
-12.913619,-38.34798,29186374,School
-12.914816,-38.365955,29336430,School
-12.862407,-38.397284,29193192,School
-12.944771,-38.377138,29368111,School
-12.919025,-38.405896,29384770,School
-12.912023,-38.34913,29404592,School
-12.926074,-38.37698,29404606,School
-12.969846,-38.419476,29404584,School
-12.978782,-38.438705,29415063,School
-12.909096,-38.366499,29413761,School
-12.833,-38.376108,29415802,School
-12.900713,-38.365248,29413672,School
-12.914182,-38.348069,29193206,School
-12.94551,-38.380292,29423066,School
-12.974983,-38.425761,29182794,School
-12.910968,-38.354792,29192340,School
-12.936658,-38.369913,29191548,School
-12.913153,-38.357872,29191122,School
-12.91299,-38.378556,29432740,School
-12.970351,-38.414472,29434394,School
-12.977718,-38.433077,29180058,School
-12.931049,-38.376938,29194679,School
-12.939516,-38.359716,29190800,School
-12.917117,-38.364577,29195527,School
-12.992126,-38.444576,29434424,School
-12.982979,-38.435968,29438390,School
-12.961326,-38.406495,29447607,School
-12.91742,-38.365796,29411513,School
-12.937584,-38.372671,29411475,School
-12.967493,-38.417662,29344654,School
-12.913537,-38.348197,29412242,School
-12.973626,-38.433483,29344832,School
-12.82959,-38.371545,29850827,School
-12.917176,-38.352216,29422434,School
-12.985314,-38.437482,29191327,School
